sig_id,group
id_028b6d60d,13
id_028e3e413,132
id_028f92703,133
id_0290cfd3b,13
id_02922b4ab,98
id_02945c933,52
id_02973bcb5,134
id_029833ce8,1
id_0299389e5,54
id_029cae7c4,5
id_02a2dee60,53
id_02a5e52d3,135
id_02a82c5dd,136
id_02a8ee101,137
id_02aa7e9b8,138
id_02ae0e8cf,1
id_02b02aaed,40
id_02b0430ff,139
id_02b157b78,1
id_02b2fc262,1
id_02b333e98,140
id_02bc5cb63,110
id_02c417942,141
id_02c5a6aeb,43
id_02c749b75,142
id_02c93b4a5,1
id_02cb33e37,143
id_02d0b8a41,144
id_02d4fc86a,145
id_02d9e7c10,1
id_02e412b06,1
id_02e87ef1b,146
id_02e8f0488,53
id_02e97862b,147
id_02ea1d24d,148
id_02f107491,142
id_02f5e8e31,34
id_02f75e527,80
id_02f8cc9c9,1
id_02f9e8511,47
id_02fbfc86c,136
id_0300b2550,1
id_0300c1f7a,105
id_03033f263,13
id_03059e32e,1
id_03091bb82,28
id_030afe714,149
id_030c91a99,150
id_030e981da,81
id_03137701c,151
id_0314fab9c,152
id_0317f5a12,153
id_03199b81f,154
id_031ae839c,26
id_03232ce81,155
id_03237b046,156
id_032f44bbf,157
id_033492d88,1
id_033cf584a,3
id_033dfda16,39
id_0342d07e0,22
id_0343591d3,158
id_03495fee6,159
id_034af0742,30
id_034de71b9,53
id_0353ca747,1
id_0357299bc,1
id_035c5cb20,1
id_035d3f00d,160
id_0366331b7,46
id_0369e1b47,10
id_036f8d29e,161
id_03741da7d,162
id_037748763,54
id_03776c704,163
id_037a21cdf,1
id_038300792,76
id_038675049,72
id_0388db71e,1
id_038cf4f1b,164
id_038de6eda,165
id_0391c4468,38
id_03921ca7e,118
id_0393ac9ae,20
id_039427e27,10
id_0394d3d38,82
id_039a40bd2,61
id_039a6024d,166
id_039ab27b6,85
id_039cfc65b,167
id_039ec0a59,13
id_03a148573,52
id_03a2ff06f,168
id_03a6b6129,169
id_03adbd2e9,105
id_03aeb5688,39
id_03b10f32f,67
id_03b3801ce,170
id_03b3b0015,1
id_03b676646,118
id_03b910fe7,163
id_03bc6d412,1
id_03bdbab43,13
id_03c043141,56
id_03c5df6d2,1
id_03ccb7188,34
id_03cdc1e3d,1
id_03d448466,171
id_03d4e1eee,1
id_03d57c47a,52
id_03d687876,3
id_03db4e0c9,42
id_03dbc3ba0,172
id_03dd91d6c,13
id_03ddcc10b,26
id_03de5a1fc,134
id_03dfaea89,162
id_03e015331,134
id_03e046ece,1
id_03e2b01f2,173
id_03e3a6c88,98
id_03ebe50a1,25
id_03ee69030,1
id_03ee99eeb,148
id_03f1f6d7d,105
id_03f45f96c,126
id_0401ebb59,124
id_0402f3976,174
id_0403aeeaa,175
id_040417fb9,176
id_0405b554c,177
id_040956aef,90
id_040d1db4b,1
id_040d3e4fa,1
id_041040719,80
id_0412ac62d,3
id_04171c41d,178
id_0417e8df2,179
id_041beba5f,1
id_041c9ef8e,26
id_041d3830e,1
id_04226b769,1
id_04244deaa,180
id_0424a1c67,24
id_042d17a15,181
id_042d724d6,25
id_042e03163,1
id_0432290a5,182
id_04356d6be,33
id_0435d7193,1
id_04368170e,183
id_04372d73c,13
id_043cad7db,26
id_044367eb7,47
id_044718c9e,184
id_04471f82a,185
id_0448572eb,186
id_044912271,187
id_04495c8c8,52
id_044ebfd4a,54
id_044f98b25,188
id_0453e385b,97
id_0456e6cc2,189
id_045985616,35
id_045d1b7ce,190
id_045d9c804,1
id_045df8f64,46
id_046098431,1
id_04613f1ad,13
id_04627f6cf,56
id_0464a03aa,26
id_0468ecb01,191
id_046b5b1cf,192
id_046d8db84,1
id_046f15ae4,1
id_0472e4637,1
id_047537e4d,64
id_047715270,13
id_04778cacb,61
id_04780e3e4,42
id_047eb1868,1
id_04819226e,25
id_0481e7f4b,13
id_04827da4d,193
id_04865a9b9,194
id_048a25f6d,195
id_048b6275f,196
id_048cba0db,197
id_048cdfd4b,1
id_048d2db1b,50
id_0490d37cd,198
id_049105679,1
id_049457e6d,199
id_049604b47,10
id_049878d88,200
id_04990214e,1
id_049e1bf88,94
id_04a1f5a6e,201
id_04a50b246,148
id_04aa7e465,1
id_04adcf161,3
id_04ae37769,202
id_04b146d4d,11
id_04b217d00,142
id_04b671b1e,203
id_04c008e0e,90
id_04c164dd4,204
id_04c32bbd2,28
id_04c5ffcfd,26
id_04cb4ecb4,205
id_04d5c9f3c,38
id_04d653fe4,206
id_04da0fb55,139
id_04da5bea0,1
id_04db8fcfd,1
id_04e619b65,1
id_04e7a9e1b,176
id_04e7ef0c5,1
id_04e848e80,207
id_04e85bd3d,1
id_04e8ce446,47
id_04eab6e8d,52
id_04f45df68,1
id_04f805f61,13
id_04fd87377,128
id_04ff859c7,134
id_04ffec848,173
id_0501cc8c0,1
id_050711b03,208
id_0507fd0bd,209
id_050b88c21,168
id_050e741df,1
id_050f54b44,150
id_0511cfda7,1
id_0516434ac,34
id_051b04e7a,210
id_051bc3547,98
id_051c94bc8,9
id_051ccced6,211
id_051dbf5c8,1
id_05227abd1,212
id_0522a53df,1
id_052495ec9,1
id_052542ca1,213
id_0526295a5,214
id_05271b5aa,3
id_05287ba6c,215
id_0529498cb,3
id_052a78696,216
id_052f54a1b,168
id_0536d3269,1
id_05375510c,217
id_053e02667,201
id_05400ab11,76
id_0540547fa,107
id_054206964,218
id_0544f8fa6,13
id_05459baf6,219
id_0545ae188,56
id_0546da774,5
id_05487da6c,30
id_0548e212c,1
id_054dd9e1d,204
id_054e0e423,220
id_055047feb,1
id_0551c9260,30
id_0552d7a6e,221
id_05561a0c3,63
id_05573b066,222
id_05584405a,223
id_055d4f04f,1
id_055def204,1
id_055f00bf7,164
id_0560f34cd,160
id_05617ce74,54
id_0563e1056,20
id_0565d8be2,80
id_05664d45e,1
id_0566db8ed,1
id_057162de2,194
id_057588ef8,224
id_0577dc7cb,46
id_05786a8fd,13
id_057a29ae9,225
id_057c57231,206
id_057cb4ee2,1
id_057d81388,105
id_057ff1bfb,211
id_0581f64ee,160
id_0582e610a,1
id_0583e4a97,191
id_058b09267,122
id_05923ca7e,226
id_059593bb9,227
id_0598a396a,157
id_059db2229,136
id_059df83ef,228
id_05a43e02a,229
id_05a879aa0,1
id_05aa3a203,10
id_05acecb88,38
id_05ae06798,1
id_05b14f5f6,33
id_05b817224,59
id_05b92cf23,1
id_05bb9c82d,1
id_05bd7e0e4,1
id_05be6f34e,140
id_05c10f90d,158
id_05c14e503,124
id_05c530eaf,16
id_05c65b056,46
id_05c7b4bc1,230
id_05c97e778,157
id_05cb1625e,13
id_05cbc2a3b,38
id_05cc21222,1
id_05cce3bcb,119
id_05d6aa34c,1
id_05d7f86a7,20
id_05da7422b,231
id_05dc1b135,1
id_05dd8f8d7,1
id_05df28c5e,212
id_05e1f6eaa,232
id_05e3f9e7f,233
id_05e7f604e,1
id_05e90b72c,234
id_05ea3a52e,157
id_05f9f6422,235
id_05f9f9c2c,38
id_05f9ffc64,94
id_05fab8e6e,135
id_05fc1d2eb,236
id_060539684,198
id_06080a846,13
id_0609b9918,118
id_060a6338d,85
id_060c9abea,1
id_060f3a8d6,35
id_06100bd1f,56
id_061062e99,1
id_061199516,82
id_06121faaa,37
id_061480bcf,182
id_061703238,5
id_06189ce9a,1
id_061c38228,237
id_061f79f0f,56
id_062ae82df,187
id_062b9b1c2,238
id_062d58813,94
id_062e996d7,205
id_062f184ff,239
id_06312a113,1
id_06393af9f,184
id_06395227f,1
id_063bb8a11,240
id_063def5c5,168
id_063e8e7d6,241
id_063ecfe30,47
id_063f2f075,47
id_06428d31f,80
id_0644c9ffc,1
id_064603dcb,1
id_0646ece8b,26
id_0648abd5f,237
id_064901c0f,1
id_064a09952,1
id_064a6e22c,242
id_064ac77f9,243
id_0651a3ed7,34
id_0652a43ab,1
id_06562f945,1
id_0658dda75,244
id_065968a5b,12
id_065985006,13
id_065af93a8,1
id_065bc9648,118
id_065e12f9e,39
id_065f1df01,245
id_065f38d2e,246
id_06600f2fa,20
id_0661ac1ee,1
id_0661dcea9,247
id_0663b072f,130
id_06674ea0c,1
id_06689feb9,98
id_06691a110,1
id_066adb43f,40
id_066af2d5e,25
id_067111b8e,1
id_0676db14f,35
id_067798631,13
id_067a17aaa,248
id_067c6f57c,47
id_068246406,249
id_06834da34,13
id_06852166f,250
id_068573b37,1
id_068b49e92,28
id_068d2e8e2,251
id_068e73c22,56
id_068ecbfee,1
id_06903484e,252
id_0691129aa,52
id_0692694d4,1
id_0693d1c7a,38
id_0693fe83a,142
id_069470d9c,6
id_0699adc64,253
id_069b1fc41,33
id_069e56abb,254
id_06a0e7b16,47
id_06a4a1ba5,255
id_06a825b1e,1
id_06acc804d,1
id_06b298229,1
id_06b45cc83,116
id_06b620d6c,1
id_06b8d575d,121
id_06bae2ece,24
id_06bc2082e,157
id_06c10d4b9,226
id_06c151919,13
id_06c1d93d7,256
id_06c529956,131
id_06c5f2714,1
id_06c697773,36
id_06c867db3,257
id_06cdf6042,80
id_06cfcd793,1
id_06d23164f,1
id_06d32f557,1
id_06d514a5f,1
id_06d5bda32,211
id_06d5f8a2b,1
id_06de1ba70,174
id_06e63ab8b,258
id_06e966d58,110
id_06ec6d4c8,80
id_06f86780b,9
id_06f87b97e,259
id_06fe6d5c0,5
id_0700f77b9,13
id_0705f2102,53
id_07060fa4f,13
id_0708b120e,85
id_070e27c05,190
id_070e69925,3
id_070ea08b8,1
id_0711bc6dd,35
id_071258523,260
id_07157f4f7,1
id_0716fb9f0,68
id_071cf3fce,55
id_0723503c2,1
id_0729e9a15,261
id_072ad147c,1
id_072f6f8f8,1
id_073128f9c,71
id_073475337,56
id_07352f790,262
id_073a5741a,13
id_073c44be2,1
id_073fe3298,263
id_07422aba7,1
id_0744dac2a,264
id_074a6bf37,146
id_074f5a92f,265
id_0751987f5,1
id_0751b1418,1
id_075252e18,140
id_0755f688c,118
id_075a6a517,92
id_075cdb4e0,1
id_075d82473,1
id_0766ae82e,98
id_0769c8cbb,13
id_076b6a254,157
id_076d60cd5,26
id_0773d8535,14
id_07743ad4d,194
id_077751a34,74
id_077926440,211
id_077b92c37,233
id_07804fe1e,136
id_078118770,47
id_078271c0d,28
id_078392deb,1
id_078a2d965,1
id_078a8d19e,252
id_078f0b0a3,266
id_07925a0a2,1
id_0797bcf33,102
id_079aaac43,267
id_079b94eff,196
id_079e18463,268
id_07a150333,30
id_07a34a85d,205
id_07a3f0b51,1
id_07a4dae3a,70
id_07a767b69,1
id_07a9c2eb6,1
id_07aa71c12,13
id_07accbce3,116
id_07af3f84b,135
id_07b1f6bdb,181
id_07b7426b2,1
id_07b926e41,269
id_07b96530c,270
id_07bda871a,1
id_07bea2205,271
id_07c00d1f2,85
id_07c11cafa,272
id_07c1666ac,38
id_07c25e5d6,1
id_07c89c72d,273
id_07d9022db,148
id_07da0461f,231
id_07dca0937,35
id_07de073c5,1
id_07e154ba8,56
id_07e288fbd,274
id_07e2e03f1,1
id_07e3bf901,200
id_07e58c049,275
id_07e69f968,276
id_07e7afe80,1
id_07e83bc76,1
id_07ea19e48,80
id_07ec3439a,92
id_07ecb3e85,277
id_07ed3e7d0,1
id_07ed6ce4d,278
id_07f2731b8,168
id_07f48c9c1,26
id_07f7bedce,270
id_07f96f130,1
id_07fd62b7b,40
id_07fdbf51e,201
id_07fe5c8ac,168
id_07fea82ef,1
id_08040a5f1,231
id_08040e109,80
id_08068cc60,279
id_0807526e6,280
id_08079b8fe,85
id_080914592,1
id_080cbfb09,281
id_080ee8072,282
id_08124df5c,122
id_0815ab35b,268
id_0817d555c,283
id_081867eb0,1
id_0818efde4,219
id_082451f20,181
id_082717db1,62
id_0829c8125,1
id_082a56c73,37
id_082aba7b4,42
id_082c2743c,284
id_083216179,20
id_083245ac2,1
id_08371c7fe,1
id_083e690fb,285
id_0840fff5f,1
id_0841e44d0,40
id_08422d62f,211
id_084972c31,286
id_084a7d4cf,206
id_08512ff16,189
id_085234929,160
id_0853041ac,1
id_08551cb80,1
id_08569883c,40
id_085905dd9,287
id_085efcefc,71
id_085f9d65b,134
id_086481895,38
id_08671b974,93
id_0868d3b43,145
id_086f02dce,1
id_0873e765c,1
id_08773b1bc,38
id_087a9b0c4,85
id_087af9211,39
id_087d5ac3b,288
id_087e25143,132
id_087eef483,10
id_087f45b0c,24
id_087f99aa5,289
id_0880ae443,53
id_0880ea33c,54
id_0882a2944,1
id_0883aa5a9,290
id_0885a5d3c,240
id_08895fbd5,291
id_088a97025,292
id_088eaa4d4,47
id_08921988f,293
id_089297df9,1
id_08944f6e7,160
id_089684aa3,167
id_0897eb75c,228
id_08981fad1,10
id_0898dced4,184
id_08a284550,294
id_08a7125a6,1
id_08a79bdc1,295
id_08a7e5edb,1
id_08a9df853,1
id_08aa2650c,37
id_08abaa033,1
id_08aeb6e62,162
id_08b0e7b17,255
id_08b1a6056,296
id_08bdc0f31,121
id_08bf3141f,297
id_08c0779c0,94
id_08c0cb1c4,298
id_08c603d85,1
id_08c6c9b16,98
id_08c71c324,142
id_08c767903,1
id_08c91b32c,34
id_08c941d58,47
id_08ca53ec0,53
id_08cb20d26,1
id_08cbe21a9,107
id_08cc332d8,299
id_08cd1e6b2,1
id_08cf03104,105
id_08d1726b9,102
id_08d581ca8,300
id_08d6bd198,301
id_08d9b9f1a,10
id_08e5b2b3f,30
id_08e72d81b,302
id_08ec659cb,189
id_08f4c2673,53
id_08f556ff1,53
id_08f83e900,303
id_08f897793,1
id_08fbc6131,1
id_08ffed841,304
id_090a5343d,100
id_090cc7901,37
id_090d5faab,1
id_09104198b,182
id_09119dd46,102
id_091269bf0,63
id_091319dd9,1
id_0913c488a,291
id_091adeed4,1
id_091b0ebc7,1
id_0921fcf48,305
id_092277158,1
id_092515095,42
id_092c41e5d,1
id_0937b74ce,1
id_093a1f12f,1
id_093c31e74,191
id_093d03684,25
id_093dbbed3,1
id_093df434f,298
id_0946d43dc,306
id_09471a86e,47
id_0948b901f,307
id_094c6d526,1
id_094f7ddb9,102
id_095085268,26
id_095199600,1
id_0953ff5dd,1
id_0954ebba0,44
id_095a25978,308
id_095cd83b0,30
id_096364a52,28
id_096706890,169
id_09686bf3b,28
id_096ed240b,1
id_0971c8e23,1
id_0971f9b36,30
id_0974a9618,52
id_0977a12e6,54
id_097e87962,175
id_097fc1346,118
id_0980b2e6b,178
id_09820e86d,285
id_0986c77f8,309
id_0988777c6,72
id_098b9360c,1
id_098bf976e,54
id_098dfe9d2,310
id_098e6955f,13
id_099279d48,34
id_0993b8e8f,109
id_099460f03,211
id_0994f591a,137
id_099a7a509,13
id_099b61931,157
id_099d18017,268
id_099e7f7ac,52
id_09a335c57,33
id_09a6e55e5,1
id_09a874f4a,1
id_09aee8117,1
id_09b6435c1,130
id_09ba37a41,1
id_09ba7fbba,1
id_09bfb1fda,311
id_09bfc2b33,1
id_09c3d235a,53
id_09c43a51e,312
id_09c631ac1,104
id_09c81a187,227
id_09ca34d58,313
id_09d04c20a,258
id_09d635b26,26
id_09d705474,25
id_09db27a22,5
id_09dc3456c,314
id_09deba939,169
id_09e3c8f6a,80
id_09e4eea26,184
id_09e8bc7c4,315
id_09ee31cb4,316
id_09f358173,226
id_09f3986b3,239
id_09f3cdc66,16
id_09f8d2d75,26
id_09fb3ebaa,3
id_0a0b6d9f7,28
id_0a0da71c5,34
id_0a0e998a7,1
id_0a0f264bc,136
id_0a1002ac3,317
id_0a14301fd,289
id_0a19eb47e,1
id_0a1e3f40b,3
id_0a1eab6bf,310
id_0a233bd51,1
id_0a25453ae,278
id_0a2563125,1
id_0a2911bb7,1
id_0a29d6d51,148
id_0a2c2427a,318
id_0a2f3cf94,40
id_0a2fd6631,68
id_0a358b57c,1
id_0a36672a5,189
id_0a3aae228,224
id_0a3d3d43d,90
id_0a44065d9,1
id_0a44b08e2,80
id_0a4607931,25
id_0a4a280ff,54
id_0a4a9f6c8,168
id_0a5061676,319
id_0a50f2317,1
id_0a53ddedd,320
id_0a544b8fb,34
id_0a59e9aca,3
id_0a5b05083,1
id_0a5c99a2e,321
id_0a5e000bd,322
id_0a5efbcd4,271
id_0a615db6f,1
id_0a689d619,1
id_0a69a839d,13
id_0a6b39036,287
id_0a6c150af,81
id_0a6c60021,323
id_0a6d69ea1,324
id_0a7186869,325
id_0a735b9e5,13
id_0a76b96dd,10
id_0a77d2672,326
id_0a780ab20,1
id_0a7821620,58
id_0a7981d83,25
id_0a7a74f7d,327
id_0a7b379b6,54
id_0a7c53ac4,116
id_0a82498f6,1
id_0a87c2a73,1
id_0a88edc7b,328
id_0a8a23a29,69
id_0a8ef19f0,252
id_0a8fee0f8,1
id_0a9019628,5
id_0a9c4dd52,52
id_0a9cc746f,1
id_0a9d6a3d4,47
id_0a9e8ac96,157
id_0aa222481,329
id_0aa51a8e7,54
id_0aa5d414d,16
id_0aaca9960,1
id_0aace0edb,224
id_0aaffbc69,330
id_0ab1b6d41,102
id_0ab1d4566,54
id_0ab20de22,331
id_0ab26769c,292
id_0ab604ba6,56
id_0ab711eab,1
id_0ab7c6b73,332
id_0ababd7c2,333
id_0abd206f3,215
id_0ac0decf0,102
id_0ac6d1323,1
id_0ac7ad5ff,13
id_0aca77ae5,128
id_0ad06b9a9,38
id_0ad3a6e1c,92
id_0ad923248,218
id_0ada54b07,301
id_0add288cc,10
id_0adf4d26e,110
id_0adf9185a,1
id_0adfd954c,13
id_0adfef0c8,1
id_0ae13e757,206
id_0ae340f18,38
id_0ae57b471,1
id_0ae90846a,72
id_0aeeb1ee1,334
id_0aeef9aaf,10
id_0af0f4f2a,1
id_0af2fe74a,165
id_0af6dba54,34
id_0af8383aa,1
id_0af8a2e33,168
id_0afa41567,112
id_0affd89a8,1
id_0b000d4f5,1
id_0b0195542,128
id_0b04c7ac4,1
id_0b0561637,141
id_0b07df668,335
id_0b080e72f,157
id_0b093ddac,336
id_0b0a167f9,18
id_0b0b8a3e7,25
id_0b0d10adb,337
id_0b11a737c,1
id_0b13947d4,338
id_0b1665a55,33
id_0b172c1c2,339
id_0b1bf41a2,56
id_0b1fe2844,13
id_0b21ebc26,340
id_0b28cc4cd,30
id_0b2b8be57,1
id_0b2befa00,212
id_0b2f2d15f,105
id_0b30bd23d,171
id_0b362e2a7,1
id_0b3810f99,80
id_0b38e8259,1
id_0b45f1e3d,341
id_0b469a215,121
id_0b48c7878,34
id_0b49219fd,38
id_0b566ba89,175
id_0b58b345a,342
id_0b5a40287,105
id_0b626244f,95
id_0b69ce54d,110
id_0b78dfb5c,218
id_0b7923b27,343
id_0b7a137ae,42
id_0b7b780bd,211
id_0b7ba6e70,196
id_0b7c3bccc,80
id_0b7ce3b0e,1
id_0b7f45831,1
id_0b8308b7d,223
id_0b83eb460,28
id_0b87d5a69,140
id_0b8a463b0,344
id_0b8bf5fcb,345
id_0b8c11ec3,116
id_0b8e54875,346
id_0b9088c71,1
id_0b937b36c,168
id_0b96a752a,314
id_0b980ade5,26
id_0b997f6cd,347
id_0b9e0fad2,1
id_0ba569940,38
id_0ba874274,104
id_0bb0be9aa,205
id_0bb392ae5,81
id_0bb5ed737,202
id_0bb82794b,131
id_0bbd8e4dd,237
id_0bc03118b,30
id_0bc0bf3d8,348
id_0bc202743,156
id_0bc211736,349
id_0bc2a5719,80
id_0bc8fdb2b,10
id_0bcb40c1c,321
id_0bcf1269d,16
id_0bd578170,257
id_0bdd03e2b,13
id_0bdec4656,1
id_0be116d54,103
id_0be35132f,1
id_0be5c2365,93
id_0be5f721b,1
id_0be9015f5,103
id_0be93ea1d,35
id_0bea26240,350
id_0bec2731d,105
id_0bee075e0,94
id_0bf281244,47
id_0bf58da8d,1
id_0bfa8a6f1,115
id_0bfafbfe9,228
id_0c01e2dad,351
id_0c0201fe5,37
id_0c09178e8,1
id_0c0e3abf9,13
id_0c1037fe6,28
id_0c10d5f2f,127
id_0c177a56f,1
id_0c17f5628,54
id_0c1945d90,191
id_0c25efb00,1
id_0c291d48a,3
id_0c2ad58c9,1
id_0c2b3184a,1
id_0c2ccc5ff,5
id_0c31bd641,191
id_0c3571e69,217
id_0c36f999f,156
id_0c3795d4d,1
id_0c3804253,309
id_0c3922efb,279
id_0c3f9db60,299
id_0c3fbe496,105
id_0c42c3d2d,1
id_0c4ae6b94,53
id_0c536d6d9,35
id_0c539635e,1
id_0c541a860,1
id_0c54c300e,13
id_0c55222c1,47
id_0c5873c63,1
id_0c5db7a19,34
id_0c5e565c4,40
id_0c67226e0,352
id_0c6bcb503,62
id_0c6dcbcab,63
id_0c6e3116d,1
id_0c73d0a7a,1
id_0c765f2ae,353
id_0c7669d26,80
id_0c7d8679a,56
id_0c7ecd2e0,20
id_0c830d384,354
id_0c830f5c9,333
id_0c83387f6,34
id_0c83537d7,53
id_0c8384445,18
id_0c8454262,191
id_0c857a91d,157
id_0c8a20138,1
id_0c8d3d181,1
id_0c9261cee,355
id_0c96bc6aa,1
id_0c9ec7657,20
id_0ca3402b2,1
id_0ca67fc88,356
id_0ca9fe61d,1
id_0cae447b4,14
id_0cb4f7908,212
id_0cb585841,122
id_0cb681a7d,42
id_0cb6d3cd0,12
id_0cb88768c,1
id_0cb896c40,5
id_0cbf8e0ec,1
id_0cc40c111,1
id_0cc57a15a,1
id_0ccc6a942,1
id_0ccc81095,30
id_0ccd3251d,1
id_0cce864a1,123
id_0cd2e3dfb,35
id_0cd6b8828,357
id_0cd889682,30
id_0cdc7190f,52
id_0ce5d6d9e,35
id_0ce917029,4
id_0ce98be9c,30
id_0ceb4424d,18
id_0cec14fca,53
id_0cf1fd47e,218
id_0cf29d321,85
id_0d05e5a37,189
id_0d0677fe9,1
id_0d0ba19c3,52
id_0d146c536,1
id_0d14accb8,1
id_0d17c1530,1
id_0d211a108,358
id_0d225d924,142
id_0d26bd613,25
id_0d26ea351,47
id_0d2c7b11b,24
id_0d2ca2b3c,25
id_0d2da164f,30
id_0d31503a1,32
id_0d3ed6be0,9
id_0d43d6e6a,1
id_0d43edf4e,30
id_0d4530f51,136
id_0d4db9f15,53
id_0d4f5d1ea,62
id_0d50f869e,160
id_0d519c836,157
id_0d51c516b,359
id_0d5786a1e,121
id_0d59311f0,28
id_0d59dd27a,47
id_0d5a99ef7,1
id_0d5c3c21a,360
id_0d5cc00fc,26
id_0d60b4771,1
id_0d60dc91e,13
id_0d6146b79,296
id_0d651690f,324
id_0d6543f73,25
id_0d659aff8,191
id_0d6794918,146
id_0d68380af,1
id_0d69d021a,38
id_0d6af5a49,217
id_0d6b4d948,170
id_0d6bafd15,206
id_0d6ebe357,1
id_0d6f4a673,1
id_0d72f444d,208
id_0d776104a,1
id_0d77f9946,1
